id	name	district	lat	long
939	Powell Valley Elementary School	Gresham-Barlow SD 10J	45.49119899999999	-122.383845
941	East Orient Elementary School	Gresham-Barlow SD 10J	45.4685493	-122.3529327
942	West Orient Middle School	Gresham-Barlow SD 10J	45.4689092	-122.3566773
943	Alder Elementary School	Reynolds SD 7	45.5171597	-122.4862406
945	Fairview Elementary School	Reynolds SD 7	45.5399154	-122.4341438
946	Glenfair Elementary School	Reynolds SD 7	45.5260697	-122.5057447
947	Hartley Elementary School	Reynolds SD 7	45.528364	-122.4722255
948	Margaret Scott Elementary School	Reynolds SD 7	45.5391034	-122.5119831
949	Davis Elementary School	Reynolds SD 7	45.5231909	-122.4621833
950	Sweetbriar Elementary School	Reynolds SD 7	45.5160547	-122.3823217
951	Troutdale Elementary School	Reynolds SD 7	45.5365844	-122.3860066
952	Wilkes Elementary School	Reynolds SD 7	45.5412272	-122.4882726
954	Hauton B Lee Middle School	Reynolds SD 7	45.531697	-122.4877993
957	Reynolds High School	Reynolds SD 7	45.52880039999999	-122.4016815
958	Sauvie Island School	Scappoose SD 1J	45.6554231	-122.8254005
959	Meadows Elementary	Centennial SD 28J	45.5016719	-122.477613
960	Centennial Middle School	Centennial SD 28J	45.50132319999999	-122.4791844
963	Parklane Elementary School	Centennial SD 28J	45.5144739	-122.5002109
964	Patrick Lynch Elementary	Centennial SD 28J	45.5112592	-122.488318
965	Powell Butte Elementary School	Centennial SD 28J	45.4962314	-122.4855493
966	Pleasant Valley Elementary School	Centennial SD 28J	45.4646035	-122.47992
967	Centennial High School	Centennial SD 28J	45.4961834	-122.4772308
972	Cherry Park Elementary School	David Douglas SD 40	45.5086374	-122.5561628
973	Gilbert Heights Elementary School	David Douglas SD 40	45.4905487	-122.5311705
974	Gilbert Park Elementary School	David Douglas SD 40	45.4795338	-122.5282619
975	Lincoln Park Elementary School	David Douglas SD 40	45.5082	-122.5262608
976	Menlo Park Elementary School	David Douglas SD 40	45.5260288	-122.5303711
977	Mill Park Elementary School	David Douglas SD 40	45.5098978	-122.5414911
978	Ventura Park Elementary School	David Douglas SD 40	45.52131430000001	-122.5439803
979	West Powellhurst Elementary School	David Douglas SD 40	45.5011161	-122.5434544
980	Alice Ott Middle School	David Douglas SD 40	45.4792945	-122.5348131
981	Floyd Light Middle School	David Douglas SD 40	45.5173232	-122.5517939
983	David Douglas High School	David Douglas SD 40	45.5156974	-122.5264099
985	Riverdale Grade School	Riverdale SD 51J	45.4398966	-122.6560243
986	Gresham High School	Gresham-Barlow SD 10J	45.5057885	-122.430167
987	Sam Barlow High School	Gresham-Barlow SD 10J	45.4855344	-122.3535095
989	Lyle Elementary School	Dallas SD 2	44.9280084	-123.3206324
990	Oakdale Heights Elementary School	Dallas SD 2	44.9161101	-123.3371037
993	Whitworth Elementary School	Dallas SD 2	44.9172985	-123.2979207
994	LaCreole Middle School	Dallas SD 2	44.9232167	-123.3010679
995	Dallas High School	Dallas SD 2	44.9164408	-123.3037136
998	Independence Elementary School	Central SD 13J	44.8525261	-123.1893452
999	Monmouth Elementary School	Central SD 13J	44.8524099	-123.224265
1001	Talmadge Middle School	Central SD 13J	44.8554346	-123.2109052
1002	Central High School	Central SD 13J	44.8519552	-123.2110299
1005	Falls City Elementary School	Falls City SD 57	44.8677053	-123.4322826
1006	Falls City High School	Falls City SD 57	44.8655296	-123.4293858
1010	Sherman County School	Sherman County SD	45.3624182	-120.7812288
1012	East Elementary School	Tillamook SD 9	45.4537852	-123.8199519
1014	South Prairie Elementary School	Tillamook SD 9	45.407456	-123.817018
1016	Tillamook Junior High School	Tillamook SD 9	45.4548309	-123.8199412
1017	Tillamook High School	Tillamook SD 9	45.4489747	-123.836113
1019	Nestucca K8	Nestucca Valley SD 101J	45.1882617	-123.9040643
1020	Garibaldi Elementary School	Neah-Kah-Nie SD 56	45.72927319999999	-123.9406913
1021	Nehalem Elementary School	Neah-Kah-Nie SD 56	45.7208042	-123.8955557
1022	Neah-Kah-Nie High School	Neah-Kah-Nie SD 56	45.6386398	-123.9395709
1023	Nestucca High School	Nestucca Valley SD 101J	45.20379250000001	-123.8890304
1027	Pilot Rock Elementary School	Pilot Rock SD 2	45.4794164	-118.8333531
1028	Pilot Rock High School	Pilot Rock SD 2	45.482724	-118.8309048
1031	Clara Brownell Middle School	Umatilla SD 6R	45.9172728	-119.3382663
1032	McNary Heights Elementary School	Umatilla SD 6R	45.9196051	-119.2960743
1033	Umatilla High School	Umatilla SD 6R	45.9163341	-119.3372007
1034	Highland Hills Elementary School	Hermiston SD 8	45.836644	-119.2702322
1036	Rocky Heights Elementary School	Hermiston SD 8	45.84480689999999	-119.299343
1037	Sunset Elementary School	Hermiston SD 8	45.8436612	-119.2879076
1038	West Park Elementary School	Hermiston SD 8	45.8377369	-119.2993659
1039	Armand Larive Middle School	Hermiston SD 8	45.8269571	-119.3046905
1040	Hermiston High School	Hermiston SD 8	45.8357131	-119.2926004
1047	McKay Creek Elementary School	Pendleton SD 16	45.6459299	-118.8257152
1048	Sherwood Heights Elementary School	Pendleton SD 16	45.6533538	-118.8165692
1049	Washington Elementary School	Pendleton SD 16	45.6764738	-118.7736184
1051	Sunridge Middle School	Pendleton SD 16	45.6505411	-118.7870522
1052	Pendleton High School	Pendleton SD 16	45.6749828	-118.8053672
1053	Athena Elementary School	Athena-Weston SD 29RJ	45.8083518	-118.4847986
